projection_method,projection_label,naics_code,naics_title,segment_id,segment_name,segment_subgroup,stage,year,value_type,share_applied,employment_auto,employment_raw,projection_rate_total,projection_cagr
bls_us,BLS US,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2001,QCEW,0.0885140651080839,379.10574085792337,4283.0,,
bls_us,BLS US,3255,"Paint, Coating, and Adhesive Manufacturing",1,1. Materials & Processing,Materials & Processing - Coatings & Surface Treatments,Upstream,2001,QCEW,0.5150096802925763,2145.530328098873,4166.0,,
bls_us,BLS US,3261,Plastics Product Manufacturing,1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2001,QCEW,0.2346645503033676,9291.777533812145,39596.0,,
bls_us,BLS US,3262,Rubber Product Manufacturing,1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2001,QCEW,0.5480013167432982,3445.8322796818593,6288.0,,
bls_us,BLS US,3272,Glass and Glass Product Manufacturing,1,1. Materials & Processing,Materials & Processing - Non-Metals,Upstream,2001,QCEW,0.5746759592860471,5102.547842500812,8879.0,,
bls_us,BLS US,3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2001,QCEW,0.4155561904757487,3050.597994282471,7341.0,,
bls_us,BLS US,3312,Steel Product Manufacturing from Purchased Steel,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2001,QCEW,0.4018232314810702,1255.2957751468632,3124.0,,
bls_us,BLS US,3313,Alumina and Aluminum Production and Processing,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2001,QCEW,0.3207778863371143,695.1256796925267,2167.0,,
bls_us,BLS US,3314,Nonferrous Metal (except Aluminum) Production and Processing,1,1. Materials & Processing,Materials & Processing - Metals,Upstream,2001,QCEW,0.2932456097149427,805.2524442772326,2746.0,,
bls_us,BLS US,3315,Foundries,3,3. Forging & Foundries,Forging & Foundries,Upstream,2001,QCEW,0.6718042155478705,10796.565548069828,16071.0,,
bls_us,BLS US,3321,Forging and Stamping,3,3. Forging & Foundries,Forging & Foundries,Upstream,2001,QCEW,0.3924501979798644,2550.141386473159,6498.0,,
bls_us,BLS US,3326,Spring and Wire Product Manufacturing,4,4. Parts & Machining,Parts & Machining,Upstream,2001,QCEW,0.4020278427245708,1684.8986888586762,4191.0,,
bls_us,BLS US,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,4. Parts & Machining,Parts & Machining,Upstream,2001,QCEW,0.3798883431259702,9939.398609547885,26164.0,,
bls_us,BLS US,3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,1. Materials & Processing,Materials & Processing - Coatings & Surface Treatments,Upstream,2001,QCEW,0.2353528305668375,4230.937835100038,17977.0,,
bls_us,BLS US,3329,Other Fabricated Metal Product Manufacturing,4,4. Parts & Machining,Parts & Machining,Upstream,2001,QCEW,0.1601840236697625,2465.2321242776447,15390.0,,
bls_us,BLS US,3335,Metalworking Machinery Manufacturing,2,2. Equipment Manufacturing,Equipment Manufacturing,Upstream,2001,QCEW,0.0781138186814543,3840.1534401989747,49161.0,,
bls_us,BLS US,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,5. Component Systems,Component Systems,Upstream,2001,QCEW,0.7169582878623106,3521.69910997967,4912.0,,
bls_us,BLS US,3339,Other General Purpose Machinery Manufacturing,2,2. Equipment Manufacturing,Equipment Manufacturing,Upstream,2001,QCEW,0.2191076203234622,4541.443646444401,20727.0,,
bls_us,BLS US,3344,Semiconductor and Other Electronic Component Manufacturing,4,4. Parts & Machining,Parts & Machining,Upstream,2001,QCEW,0.2236609031791956,1819.0341255563978,8133.0,,
bls_us,BLS US,3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,5. Component Systems,Component Systems,Upstream,2001,QCEW,0.0208760538182582,198.0719986276338,9488.0,,
bls_us,BLS US,3359,Other Electrical Equipment and Component Manufacturing,5,5. Component Systems,Component Systems,Upstream,2001,QCEW,0.503516468921238,905.322611120386,1798.0,,
bls_us,BLS US,3361,Motor Vehicle Manufacturing,7,7. Core Automotive,Core Automotive,OEM,2001,QCEW,1.0,90361.0,90361.0,,
bls_us,BLS US,3362,Motor Vehicle Body and Trailer Manufacturing,7,7. Core Automotive,Core Automotive,OEM,2001,QCEW,1.0,10139.0,10139.0,,
bls_us,BLS US,3363,Motor Vehicle Parts Manufacturing,7,7. Core Automotive,Core Automotive,OEM,2001,QCEW,1.0,203833.0,203833.0,,
bls_us,BLS US,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1.0,20063.0,20063.0,,
bls_us,BLS US,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1.0,7797.0,7797.0,,
bls_us,BLS US,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1.0,26299.0,26299.0,,
bls_us,BLS US,4239,Miscellaneous Durable Goods Merchant Wholesalers,8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1.0,6498.0,6498.0,,
bls_us,BLS US,4247,Petroleum and Petroleum Products Merchant Wholesalers,8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1.0,3190.0,3190.0,,
bls_us,BLS US,4411,Automobile Dealers,9,"9. Dealers, Maintenance, & Repair","Dealers, Maintenance, & Repair",Downstream,2001,QCEW,1.0,42508.0,42508.0,,
bls_us,BLS US,4413,"Automotive Parts, Accessories, and Tire Retailers",8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1.0,13540.0,13540.0,,
bls_us,BLS US,4571,Gasoline Stations,8,"8. Motor Vehicle Parts, Materials, & Products Sales","Motor Vehicle Parts, Materials, & Products Sales",Downstream,2001,QCEW,1.0,30203.17649841309,30203.17649841309,,
bls_us,BLS US,4841,General Freight Trucking,10,10. Logistics,Logistics,Downstream,2001,QCEW,1.0,24304.0,24304.0,,
bls_us,BLS US,4842,Specialized Freight Trucking,10,10. Logistics,Logistics,Downstream,2001,QCEW,1.0,12159.0,12159.0,,
bls_us,BLS US,5413,"Architectural, Engineering, and Related Services",6,6. Engineering & Design,Engineering & Design,OEM,2001,QCEW,0.007242971108885,603.8682302610691,83373.0,,
bls_us,BLS US,5414,Industrial design,6,6. Engineering & Design,Engineering & Design,OEM,2001,QCEW,0.0336712633047057,114.54963776260878,3402.0,,
bls_us,BLS US,5417,Scientific Research and Development,6,6. Engineering & Design,Engineering & Design,OEM,2001,QCEW,0.0026962895876024,42.28321331278084,15682.0,,
