adjustment_source,forecast_source,projection_label,segment_id,segment_name,year,value_type,employment_auto,employment_raw,auto_share_ratio,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2001,QCEW,30402.00345,96567,0.314828083,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2001,QCEW,8381.597087,69888,0.119928988,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2001,QCEW,13346.70693,22569,0.59137343,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2001,QCEW,15908.56355,53878,0.29527012,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2001,QCEW,4625.09372,16198,0.285534864,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2001,QCEW,760.7010813,102457,0.007424589,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2001,QCEW,304333,304333,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2001,QCEW,107590.1765,107590.1765,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2001,QCEW,75615,75615,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2001,QCEW,36463,36463,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2002,QCEW,28412.12142,90158,0.315136997,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2002,QCEW,7321.470104,61235,0.119563487,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2002,QCEW,12255.34878,20853,0.587701951,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2002,QCEW,15193.47042,50874,0.298649023,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2002,QCEW,4548.832473,15254,0.298205879,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2002,QCEW,732.387828,102250,0.007162717,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2002,QCEW,283180,283180,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2002,QCEW,104826.7278,104826.7278,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2002,QCEW,76404,76404,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2002,QCEW,35744,35744,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2003,QCEW,27749.57827,88475,0.313643157,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2003,QCEW,6925.564339,58385,0.118618898,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2003,QCEW,11732.46671,20120,0.583124588,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2003,QCEW,14944.78079,49178,0.303891594,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2003,QCEW,4342.599401,14725,0.294913372,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2003,QCEW,709.2731274,99969,0.007094931,,,,
