segment_id,segment_name,year,methodology,projection_method,projection_label,occcd,soctitle,employment,employment_auto,employment_raw,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_avg_annual_salary,empl_2021,ep_openings_annual_avg,openings,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,employment_auto_pct_change,employment_raw_pct_change
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,00-0000,All Occupations,446217.69277522794,446217.69277522794,707110.5736127261,0.5000000000000001,0.5,0.040364187734512835,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,HS or less,57129.20172286925,684650.0,66882.7,0.0,458122.05726159737,717160.0,-11904.36448636942,-10049.42638727394,-0.025985137143422408,-0.014012809397169305
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,11-0000,Management Occupations,28025.950008075783,28025.950008075783,52814.572891789394,0.03140389821139749,0.030925955373994448,0.012198444851464181,Bachelor's degree,5 years or more,Moderate-term on-the-job training,BA+,124875.16334942314,48080.0,7123.1,0.0,28335.72459742938,52655.435701255934,-309.77458935359755,159.13719053345994,-0.010932298141466986,0.003022236705747441
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,13-0000,Business and Financial Operations Occupations,17630.574823521903,17630.574823521903,37006.351767793385,0.019755575707755397,0.019161687844214834,0.0050853815797312855,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,BA+,81260.5056967132,31580.0,6576.299999999999,0.0,17556.783711592485,36480.281097033454,73.79111192941855,526.0706707599311,0.004202997151505339,0.014420685777081655
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,15-0000,Computer and Mathematical Occupations,4843.010205639642,4843.010205639642,18338.14245564322,0.00542673484719845,0.005340537590381067,0.0032987461210334987,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,BA+,110039.07236292286,12510.0,2050.0,0.0,4893.236135576537,17614.85524396554,-50.22592993689523,723.2872116776816,-0.010264358503307229,0.04106120667244562
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,17-0000,Architecture and Engineering Occupations,22834.20922443469,22834.20922443469,82827.05335360572,0.025586400532908622,0.025043440639291422,0.01386395131046371,Bachelor's degree,Unreported,Internship/residency,BA+,97089.46361524271,80230.0,805.7,0.0,22945.90509316176,81353.7654291361,-111.69586872707077,1473.2879244696232,-0.004867790931479007,0.018109646390651008
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,19-0000,"Life, Physical, and Social Science Occupations",953.6503774584612,953.6503774584612,7386.924428477079,0.0010685931921785555,0.0010380743086603201,0.0008554948314758386,Bachelor's degree,Unreported,Moderate-term on-the-job training,BA+,79793.86900401452,6660.0,254.1,0.0,951.1294757477525,7179.916772351964,2.5209017107086993,207.00765612511532,0.0026504295944848456,0.028831484081020164
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,23-0000,Legal Occupations,167.209918114047,167.209918114047,416.8873590362475,0.00018736361289720897,0.00018200903810614293,0.00019366188359585499,Associate's degree,Unreported,Unreported,SC or associate's,104252.67701814497,270.0,143.20000000000002,0.0,166.76470995478132,411.45431179204576,0.4452081592656896,5.433047244201759,0.002669678491249191,0.01320449704497857
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",450.4618437197341,450.4618437197341,3798.32462545447,0.0005047556954970902,0.00048692043630273543,0.00034561817206361445,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,BA+,70806.34432039707,4460.0,188.79999999999998,0.0,446.13798400344746,3735.368271235882,4.32385971628662,62.95635421858833,0.009691754280785937,0.016854122444467472
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,29-0000,Healthcare Practitioners and Technical Occupations,92.24872827106199,92.24872827106199,954.7512137967624,0.00010336740313604084,0.00010163281858220261,0.00018180864000169646,Bachelor's degree,Unreported,Unreported,BA+,91314.19425910356,430.0,415.0,0.0,93.12047186834673,930.7118012344204,-0.871743597284734,24.039412562342022,-0.009361460265334576,0.025829061725077627
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,33-0000,Protective Service Occupations,128.10110554643322,128.10110554643322,238.43067304941897,0.00014354104243347572,0.0001612574478443295,0.00026195665930182487,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,38370.0,140.0,483.0,0.0,147.75118751039795,259.59042304223874,-19.650081963964737,-21.15974999281977,-0.13299440969015472,-0.08151205943902176
