stage_clean,methodology,projection_method,projection_label,occcd,soctitle,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_avg_annual_salary,employment,employment_auto,employment_raw,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,openings,ep_openings_annual_avg,empl_2021,employment_auto_pct_change,employment_raw_pct_change,year
Core/OEM,sam_mi_bls_us,bls_us,BLS US,00-0000,All Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,58493.00398700693,155427.96599268573,155427.96599268573,274019.03681455605,167459.8846685799,283311.0,-12031.91867589418,-9291.96318544395,0.0,15511.2,283880.0,-0.07184955787893063,-0.032797749418285733,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,11-0000,Management Occupations,Bachelor's degree,5 years or more,Unreported,BA+,133662.53680846974,8116.437655222023,8116.437655222023,22360.944148030434,8710.64045604184,22592.069791041424,-594.2028008198167,-231.12564301098973,0.0,1641.2,22000.0,-0.06821574186404034,-0.010230388147200193,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-0000,Business and Financial Operations Occupations,Bachelor's degree,Unreported,Unreported,BA+,82774.29617887172,5562.187784059479,5562.187784059479,17298.50723921961,5838.9485177078195,17282.892972866797,-276.76073364834065,15.614266352811683,0.0,1571.1000000000001,17290.0,-0.04739907070750949,0.0009034521232831351,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,15-0000,Computer and Mathematical Occupations,Bachelor's degree,Unreported,Unreported,BA+,118089.0477492378,2354.9933319619613,2354.9933319619613,14043.858903146385,2440.5760370624857,13357.496734418071,-85.58270510052444,686.3621687283139,0.0,641.6,9290.0,-0.035066600589725154,0.05138404166401735,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,17-0000,Architecture and Engineering Occupations,Bachelor's degree,Unreported,Unreported,BA+,96321.63744708779,12615.320254030285,12615.320254030285,60101.7645424428,13246.332691503412,59605.6011011361,-631.0124374731276,496.1634413067004,0.0,275.6,63380.0,-0.047636764995180714,0.008324107670096854,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,19-0000,"Life, Physical, and Social Science Occupations",Bachelor's degree,Unreported,Unreported,BA+,81085.89646667191,328.29140839042117,328.29140839042117,5845.368459974757,351.7110858924985,5687.826633651573,-23.41967750207732,157.54182632318407,0.0,120.79999999999998,5450.0,-0.06658782859416497,0.027698071068323428,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,23-0000,Legal Occupations,Doctoral or professional degree,Unreported,Unreported,BA+,150054.97585891542,39.834438152369835,39.834438152369835,289.51187907457034,40.271505598243486,284.9611074355079,-0.43706744587365165,4.550771639062418,0.0,102.3,240.0,-0.010853019756299232,0.01596979910703198,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",Bachelor's degree,Unreported,Unreported,BA+,76767.27006149541,196.47781993682509,196.47781993682509,3295.9583453358055,198.1717542114366,3237.969500113006,-1.6939342746115074,57.98884522279968,0.0,119.6,3990.0,-0.00854780885072142,0.01790901527045757,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,29-0000,Healthcare Practitioners and Technical Occupations,Bachelor's degree,Unreported,Unreported,BA+,91314.19425910356,92.24872827106199,92.24872827106199,954.7512137967624,93.12047186834673,930.7118012344204,-0.871743597284734,24.039412562342022,0.0,415.0,430.0,-0.009361460265334576,0.025829061725077627,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,33-0000,Protective Service Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,38370.0,104.79123378024995,104.79123378024995,159.83036899156824,124.42329924766194,180.89013044087415,-19.63206546741199,-21.05976144930591,0.0,322.0,110.0,-0.15778447916201596,-0.11642294357341688,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,37-0000,Building and Grounds Cleaning and Maintenance Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,35935.323740056265,401.9748333885475,401.9748333885475,720.8708567980475,441.235448267697,751.8030198303987,-39.2606148791495,-30.93216303235124,0.0,860.8,510.0,-0.08897883212531495,-0.041143972844548175,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,41-0000,Sales and Related Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,76876.60185299534,1008.1491661606651,1008.1491661606651,4441.346032341216,1107.1024739000154,4523.345761089712,-98.9533077393503,-81.99972874849573,0.0,1147.5,4280.0,-0.08938044135224917,-0.018128114249824957,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,43-0000,Office and Administrative Support Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,49429.52484617276,4805.81220913007,4805.81220913007,11233.637301389334,5482.394427589174,12126.658231324538,-676.5822184591034,-893.0209299352045,0.0,2809.3999999999996,11660.0,-0.12340998580005916,-0.07364113945492666,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,47-0000,Construction and Extraction Occupations,High school diploma or equivalent,Unreported,Apprenticeship,HS or less,62422.70307089981,4123.733149278074,4123.733149278074,5498.496572453667,4254.2189911244595,5628.245216826095,-130.48584184638548,-129.74864437242832,0.0,555.0,5700.0,-0.030672102709949106,-0.023053125685521703,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,49-0000,"Installation, Maintenance, and Repair Occupations",High school diploma or equivalent,Unreported,Long-term on-the-job training,HS or less,62597.00381577444,8058.182402911806,8058.182402911806,9638.61487750853,8240.513688409237,9783.940407690501,-182.33128549743105,-145.32553018197177,0.0,878.5,11230.0,-0.022126203825605026,-0.014853476628674178,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,51-0000,Production Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,45782.44070598738,100197.3424299492,100197.3424299492,109592.99429354053,108682.17650086265,118027.43706334029,-8484.83407091345,-8434.44276979976,0.0,1211.6999999999998,119140.0,-0.0780701522925988,-0.07146171245990332,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,53-0000,Transportation and Material Moving Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,42334.972992873554,7422.18914806273,7422.18914806273,8542.58178051204,8208.047319292958,9309.150527560687,-785.8581712302284,-766.5687470486464,0.0,2839.1,9180.0,-0.09574240262761086,-0.08234572475535137,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,00-0000,All Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,58486.397817108016,163191.49072424564,163191.49072424564,282105.6567445983,167459.8846685799,283311.0,-4268.393944334268,-1205.3432554017054,0.0,15511.2,283880.0,-0.02548905340990681,-0.004254488019885234,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,11-0000,Management Occupations,Bachelor's degree,5 years or more,Unreported,BA+,133657.6885843289,8519.818892511701,8519.818892511701,22803.13380167626,8710.64045604184,22592.069791041424,-190.82156353013852,211.06401063483645,0.0,1641.2,22000.0,-0.021906720234076662,0.009342393706597481,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,13-0000,Business and Financial Operations Occupations,Bachelor's degree,Unreported,Unreported,BA+,82772.19385235822,5838.12689556683,5838.12689556683,17606.421342077807,5838.9485177078195,17282.892972866797,-0.8216221409893478,323.5283692110097,0.0,1571.1000000000001,17290.0,-0.00014071405810440162,0.01871957256918339,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,15-0000,Computer and Mathematical Occupations,Bachelor's degree,Unreported,Unreported,BA+,118086.0829908616,2470.1303452186444,2470.1303452186444,14190.841622117518,2440.5760370624857,13357.496734418071,29.55430815615864,833.3448876994462,0.0,641.6,9290.0,0.012109562540706846,0.062387803962712436,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,17-0000,Architecture and Engineering Occupations,Bachelor's degree,Unreported,Unreported,BA+,96320.11392052508,13235.904062307218,13235.904062307218,60851.72269599088,13246.332691503412,59605.6011011361,-10.428629196194379,1246.1215948547833,0.0,275.6,63380.0,-0.000787284257391754,0.020906115731312236,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,19-0000,"Life, Physical, and Social Science Occupations",Bachelor's degree,Unreported,Unreported,BA+,81062.73973610687,343.36186469928373,343.36186469928373,5875.469905486013,351.7110858924985,5687.826633651573,-8.34922119321476,187.64327183444038,0.0,120.79999999999998,5450.0,-0.023738862743060432,0.03299032898159447,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,23-0000,Legal Occupations,Doctoral or professional degree,Unreported,Unreported,BA+,150083.78596435676,41.76887001360947,41.76887001360947,292.12654412514075,40.271505598243486,284.9611074355079,1.4973644153659862,7.165436689632827,0.0,102.3,240.0,0.03718173415973046,0.025145314580357254,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",Bachelor's degree,Unreported,Unreported,BA+,76779.99736510636,205.5482971268014,205.5482971268014,3313.47319585512,198.1717542114366,3237.969500113006,7.3765429153648086,75.50369574211436,0.0,119.6,3990.0,0.03722297834379822,0.02331822326908245,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,29-0000,Healthcare Practitioners and Technical Occupations,Bachelor's degree,Unreported,Unreported,BA+,91372.13914150943,96.65683261201559,96.65683261201559,961.5091612567733,93.12047186834673,930.7118012344204,3.5363607436688653,30.797360022352905,0.0,415.0,430.0,0.03797619011927426,0.03309011444950606,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,33-0000,Protective Service Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,38370.0,110.03176735316076,110.03176735316076,165.22085382296888,124.42329924766194,180.89013044087415,-14.391531894501185,-15.669276617905268,0.0,322.0,110.0,-0.11566589201155279,-0.08662317053846637,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,37-0000,Building and Grounds Cleaning and Maintenance Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,35935.178125520084,422.05013939037417,422.05013939037417,741.8149784136018,441.235448267697,751.8030198303987,-19.185308877322825,-9.988041416796932,0.0,860.8,510.0,-0.04348088747775116,-0.01328544998269648,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,41-0000,Sales and Related Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,76878.12316428853,1057.8340777441301,1057.8340777441301,4500.384510050866,1107.1024739000154,4523.345761089712,-49.268396155885284,-22.961251038846058,0.0,1147.5,4280.0,-0.044502110073267535,-0.005076165354495142,2030
Core/OEM,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,43-0000,Office and Administrative Support Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,49430.246453209525,5045.1634380297955,5045.1634380297955,11490.500805113803,5482.394427589174,12126.658231324538,-437.23098955937803,-636.1574262107351,0.0,2809.3999999999996,11660.0,-0.07975183021474905,-0.05245941743187485,2030
