forecast_source,projection_label,stage_key,stage_name,stage_label,base_raw,target_raw,raw_change,base_auto,target_auto,auto_change
bls_us,BLS US,upstream,Upstream,Upstream (segments 1-5),199629.0,198250.7295191959,-1378.2704808040871,56442.172593017414,55948.91950356786,-493.2530894495576
bls_us,BLS US,core_oem,Core/OEM,Core/OEM (segments 6-7),283311.0,274019.036814556,-9291.963185444009,167459.88466857994,155427.96599268573,-12031.918675894209
bls_us,BLS US,downstream,Downstream,Downstream (segments 8-10),234220.0,234840.80727897421,620.8072789742146,234220.0,234840.80727897421,620.8072789742146
bls_us,BLS US,upstream_core,Upstream + Core/OEM,Upstream + Core/OEM (segments 1-7),482940.0,472269.76633375196,-10670.233666248037,223902.05726159737,211376.8854962536,-12525.171765343752
bls_us,BLS US,all_segments,All Segments,All Segments (segments 1-10),717160.0,707110.5736127262,-10049.426387273823,458122.05726159737,446217.6927752278,-11904.364486369537
dtmb_mi,DTMB MI,upstream,Upstream,Upstream (segments 1-5),199629.0,196858.60483435914,-2770.395165640861,56442.172593017414,55516.035160046726,-926.1374329706887
dtmb_mi,DTMB MI,core_oem,Core/OEM,Core/OEM (segments 6-7),283311.0,282105.6567445982,-1205.3432554018218,167459.88466857994,163191.4907242456,-4268.393944334326
dtmb_mi,DTMB MI,downstream,Downstream,Downstream (segments 8-10),234220.0,232911.47209760203,-1308.5279023979674,234220.0,232911.47209760203,-1308.5279023979674
dtmb_mi,DTMB MI,upstream_core,Upstream + Core/OEM,Upstream + Core/OEM (segments 1-7),482940.0,478964.2615789573,-3975.7384210426826,223902.05726159737,218707.52588429232,-5194.531377305044
dtmb_mi,DTMB MI,all_segments,All Segments,All Segments (segments 1-10),717160.0,711875.7336765593,-5284.266323440708,458122.05726159737,451618.99798189435,-6503.059279703011
moodys_mi,Moody's MI,upstream,Upstream,Upstream (segments 1-5),199629.0,189869.0386806542,-9759.961319345806,56442.172593017414,53007.571159674444,-3434.6014333429703
moodys_mi,Moody's MI,core_oem,Core/OEM,Core/OEM (segments 6-7),283311.0,288023.4745795137,4712.474579513713,167459.88466857994,168644.0415411184,1184.1568725384714
moodys_mi,Moody's MI,downstream,Downstream,Downstream (segments 8-10),234220.0,233218.1984162823,-1001.8015837176936,234220.0,233218.1984162823,-1001.8015837176936
moodys_mi,Moody's MI,upstream_core,Upstream + Core/OEM,Upstream + Core/OEM (segments 1-7),482940.0,477892.5132601679,-5047.486739832093,223902.05726159737,221651.61270079287,-2250.4445608044916
moodys_mi,Moody's MI,all_segments,All Segments,All Segments (segments 1-10),717160.0,711110.7116764502,-6049.288323549787,458122.05726159737,454869.8111170752,-3252.246144522156
moodys_mi_detail,Moody's MI (detail),upstream,Upstream,Upstream (segments 1-5),199629.0,193390.13090885917,-6238.869091140834,56442.172593017414,53939.136254482575,-2503.036338534839
moodys_mi_detail,Moody's MI (detail),core_oem,Core/OEM,Core/OEM (segments 6-7),283311.0,294775.9009696276,11464.900969627604,167459.88466857994,174517.3236457442,7057.438977164275
moodys_mi_detail,Moody's MI (detail),downstream,Downstream,Downstream (segments 8-10),234220.0,231573.89730317815,-2646.1026968218503,234220.0,231573.89730317815,-2646.1026968218503
moodys_mi_detail,Moody's MI (detail),upstream_core,Upstream + Core/OEM,Upstream + Core/OEM (segments 1-7),482940.0,488166.03187848674,5226.031878486741,223902.05726159737,228456.4599002268,4554.402638629428
moodys_mi_detail,Moody's MI (detail),all_segments,All Segments,All Segments (segments 1-10),717160.0,719739.929181665,2579.9291816649493,458122.05726159737,460030.35720340494,1908.2999418075779
moodys_us,Moody's US,upstream,Upstream,Upstream (segments 1-5),199629.0,191524.54139835163,-8104.458601648366,56442.172593017414,53732.98794897717,-2709.184644040244
moodys_us,Moody's US,core_oem,Core/OEM,Core/OEM (segments 6-7),283311.0,298073.6387209139,14762.638720913907,167459.88466857994,174633.45045742442,7173.565788844484
moodys_us,Moody's US,downstream,Downstream,Downstream (segments 8-10),234220.0,235902.37858947268,1682.3785894726752,234220.0,235902.37858947268,1682.3785894726752
moodys_us,Moody's US,upstream_core,Upstream + Core/OEM,Upstream + Core/OEM (segments 1-7),482940.0,489598.1801192655,6658.180119265511,223902.05726159737,228366.43840640158,4464.381144804211
moodys_us,Moody's US,all_segments,All Segments,All Segments (segments 1-10),717160.0,725500.5587087382,8340.558708738186,458122.05726159737,464268.8169958742,6146.759734276857
