segment_id,segment_label_us,stage,occcd,Occupation Title,Occupation Type,Display Level,2024 Employment,2024 Percent of Industry,2024 Percent of Occupation,Projected 2034 Employment,Projected 2034 Percent of Industry,Projected 2034 Percent of Occupation,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034",segment_share_2024,segment_share_2034,segment_label_raw,soctitle,empl_2021,empl_2024,occ_level,is_total_all,pct_seg_major_2021,pct_seg_detailed_2021,pct_seg_major_2024,pct_seg_detailed_2024,level_change_2021_2024,pct_change_2021_2024,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,segment_label_mi,segment_name,share_diff_2024,share_diff_pct_points
1.0,1. Materials & Processing,Upstream,11-1000,Top executives,Summary,2.0,44.5,21.1,1.0,45.8,21.4,1.0,0.9,22.4,0.0212755785044941,0.0215276145710928,,,,,,,,,,,,,,,,,,,,,,,,,,1. Materials & Processing,,
1.0,1. Materials & Processing,Upstream,11-1011,Chief executives,Line Item,3.0,1.7000000000000002,0.9,0.4,1.9,0.9,0.4,0.0,16.200000000000003,0.0008127749091604,0.0008930669800235,1. Materials & Processing,Chief Executives,90.0,50.0,detailed,False,,0.0012665353222628,,0.0004160772239327,-40.0,-44.44444444444444,      Chief executives,Line item,309.4,322.7,13.3,4.3,22.2,206420.0,Bachelor's degree,5 years or more,,BA+,1. Materials & Processing,1. Materials & Processing,0.0003966976852277,0.03966976852277
1.0,1. Materials & Processing,Upstream,11-1021,General and operations managers,Line Item,3.0,42.8,20.1,1.0,43.9,20.4,1.0,0.9,22.4,0.0204628035953337,0.0206345475910693,1. Materials & Processing,General and Operations Managers,1320.0,1090.0,detailed,False,,0.0185758513931888,,0.0090704834817342,-230.0,-17.42424242424242,      General and operations managers,Line item,3712.9,3876.8,164.0,4.4,308.7,102950.0,Bachelor's degree,5 years or more,,BA+,1. Materials & Processing,1. Materials & Processing,0.0113923201135995,1.1392320113599501
1.0,1. Materials & Processing,Upstream,11-2000,"Advertising, marketing, promotions, public relations, and sales managers",Summary,2.0,13.2,6.2,1.0,13.3,6.2,1.0,0.4,21.9,0.006310958118187,0.0062514688601645,,,,,,,,,,,,,,,,,,,,,,,,,,1. Materials & Processing,,
1.0,1. Materials & Processing,Upstream,11-2020,Marketing and sales managers,Summary,3.0,12.8,6.1,1.0,13.1,6.2,1.0,0.4,22.4,0.0061197169630904,0.0061574618096357,,,,,,,,,,,,,,,,,,,,,,,,,,1. Materials & Processing,,
1.0,1. Materials & Processing,Upstream,11-2021,Marketing managers,Line Item,4.0,3.1,1.4,0.8,3.4,1.4,0.7000000000000001,0.0,25.5,0.0014821189519984,0.0015981198589894,1. Materials & Processing,Marketing Managers,80.0,90.0,detailed,False,,0.0011258091753447,,0.0007489390030789,10.0,12.5,        Marketing managers,Line item,407.0,433.7,26.7,6.6,34.3,161030.0,Bachelor's degree,5 years or more,,BA+,1. Materials & Processing,1. Materials & Processing,0.0007331799489195,0.07331799489195
1.0,1. Materials & Processing,Upstream,11-2022,Sales managers,Line Item,4.0,9.3,4.7,1.5,9.9,4.7,1.4,0.4,22.4,0.0044463568559954,0.004653349001175,1. Materials & Processing,Sales Managers,250.0,340.0,detailed,False,,0.0035181536729524,,0.0028293251227427,90.0,36.00000000000001,        Sales managers,Line item,619.5,648.5,29.0,4.7,49.0,138060.0,Bachelor's degree,Less than 5 years,,BA+,1. Materials & Processing,1. Materials & Processing,0.0016170317332527,0.16170317332527
1.0,1. Materials & Processing,Upstream,11-2030,Public relations and fundraising managers,Summary,3.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,3.7,4.78102887741442e-05,4.700352526439483e-05,,,,,,,,,,,,,,,,,,,,,,,,,,1. Materials & Processing,,
1.0,1. Materials & Processing,Upstream,11-2032,Public relations managers,Line Item,4.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,3.7,4.78102887741442e-05,4.700352526439483e-05,,,,,,,,,,,,,,,,,,,,,,,,,,1. Materials & Processing,,
1.0,1. Materials & Processing,Upstream,11-3000,Operations specialties managers,Summary,2.0,64.8,30.0,2.4,67.6,30.9,2.3,3.1,37.9,0.0309810671256454,0.0317743830787309,,,,,,,,,,,,,,,,,,,,,,,,,,1. Materials & Processing,,
