segment_id,segment_name,occcd,issue,level
1.0,1. Materials & Processing,23-0000,missing_in_mi,major
1.0,1. Materials & Processing,39-0000,missing_in_mi,major
1.0,1. Materials & Processing,45-0000,missing_in_mi,major
2.0,2. Equipment Manufacturing,23-0000,missing_in_mi,major
2.0,2. Equipment Manufacturing,25-0000,missing_in_mi,major
2.0,2. Equipment Manufacturing,29-0000,missing_in_mi,major
2.0,2. Equipment Manufacturing,33-0000,missing_in_mi,major
2.0,2. Equipment Manufacturing,35-0000,missing_in_mi,major
2.0,2. Equipment Manufacturing,45-0000,missing_in_mi,major
3.0,3. Forging & Foundries,23-0000,missing_in_mi,major
3.0,3. Forging & Foundries,33-0000,missing_in_mi,major
4.0,4. Parts & Machining,23-0000,missing_in_mi,major
4.0,4. Parts & Machining,33-0000,missing_in_mi,major
5.0,5. Component Systems,23-0000,missing_in_mi,major
5.0,5. Component Systems,25-0000,missing_in_mi,major
5.0,5. Component Systems,29-0000,missing_in_mi,major
5.0,5. Component Systems,33-0000,missing_in_mi,major
6.0,6. Engineering & Design,39-0000,missing_in_mi,major
6.0,6. Engineering & Design,45-0000,missing_in_mi,major
8.0,"8. Motor Vehicle Parts, Materials, & Products Sales",25-0000,missing_in_mi,major
8.0,"8. Motor Vehicle Parts, Materials, & Products Sales",29-0000,missing_in_mi,major
8.0,"8. Motor Vehicle Parts, Materials, & Products Sales",39-0000,missing_in_mi,major
8.0,"8. Motor Vehicle Parts, Materials, & Products Sales",45-0000,missing_in_mi,major
9.0,"9. Dealers, Maintenance, & Repair",19-0000,missing_in_mi,major
9.0,"9. Dealers, Maintenance, & Repair",35-0000,missing_in_mi,major
10.0,10. Logistics,17-0000,missing_in_mi,major
10.0,10. Logistics,23-0000,missing_in_mi,major
10.0,10. Logistics,25-0000,missing_in_mi,major
10.0,10. Logistics,27-0000,missing_in_mi,major
10.0,10. Logistics,35-0000,missing_in_mi,major
10.0,10. Logistics,37-0000,missing_in_us,major
10.0,10. Logistics,45-0000,missing_in_mi,major
,Total,00-0000,missing_in_us,major
,Total,11-0000,missing_in_us,major
,Total,13-0000,missing_in_us,major
,Total,15-0000,missing_in_us,major
,Total,17-0000,missing_in_us,major
,Total,19-0000,missing_in_us,major
,Total,21-0000,missing_in_us,major
,Total,23-0000,missing_in_us,major
,Total,25-0000,missing_in_us,major
,Total,27-0000,missing_in_us,major
,Total,29-0000,missing_in_us,major
,Total,31-0000,missing_in_us,major
,Total,33-0000,missing_in_us,major
,Total,35-0000,missing_in_us,major
,Total,37-0000,missing_in_us,major
,Total,39-0000,missing_in_us,major
,Total,41-0000,missing_in_us,major
,Total,43-0000,missing_in_us,major
,Total,47-0000,missing_in_us,major
,Total,49-0000,missing_in_us,major
,Total,51-0000,missing_in_us,major
,Total,53-0000,missing_in_us,major
1.0,1. Materials & Processing,11-1000,missing_in_mi,detailed
1.0,1. Materials & Processing,11-2000,missing_in_mi,detailed
1.0,1. Materials & Processing,11-2020,missing_in_mi,detailed
1.0,1. Materials & Processing,11-2030,missing_in_mi,detailed
1.0,1. Materials & Processing,11-2032,missing_in_mi,detailed
1.0,1. Materials & Processing,11-3000,missing_in_mi,detailed
1.0,1. Materials & Processing,11-3010,missing_in_mi,detailed
1.0,1. Materials & Processing,11-3131,missing_in_mi,detailed
1.0,1. Materials & Processing,11-9000,missing_in_mi,detailed
1.0,1. Materials & Processing,11-9021,missing_in_mi,detailed
1.0,1. Materials & Processing,11-9161,missing_in_mi,detailed
1.0,1. Materials & Processing,13-1000,missing_in_mi,detailed
1.0,1. Materials & Processing,13-1070,missing_in_mi,detailed
1.0,1. Materials & Processing,13-1080,missing_in_mi,detailed
1.0,1. Materials & Processing,13-2000,missing_in_mi,detailed
1.0,1. Materials & Processing,13-2041,missing_in_mi,detailed
1.0,1. Materials & Processing,13-2050,missing_in_mi,detailed
1.0,1. Materials & Processing,13-2099,missing_in_mi,detailed
1.0,1. Materials & Processing,15-1200,missing_in_mi,detailed
1.0,1. Materials & Processing,15-1210,missing_in_mi,detailed
1.0,1. Materials & Processing,15-1212,missing_in_mi,detailed
1.0,1. Materials & Processing,15-1230,missing_in_mi,detailed
1.0,1. Materials & Processing,15-1231,missing_in_mi,detailed
