NAICS,MRIO_Indirect Share,MRIO_Total Share
3252,2.00%,2.00%
3255,14.00%,14.00%
3261,7.00%,7.00%
3262,12.00%,13.00%
3272,19.00%,19.00%
3311,22.00%,22.00%
3312,20.00%,20.00%
3313,5.00%,5.00%
3314,5.00%,5.00%
3315,25.00%,25.00%
3321,17.00%,17.00%
3326,14.00%,15.00%
3327,17.00%,17.00%
3328,9.00%,10.00%
3329,4.00%,5.00%
3335,2.00%,2.00%
3336,5.00%,5.00%
3339,1.00%,1.00%
3344,2.00%,2.00%
3345,0.00%,0.00%
3359,6.00%,6.00%
3361,0.00%,100.00%
3362,0.00%,100.00%
3363,0.00%,100.00%
4231,78%,78%
4235,30%,31%
4238,44%,44%
4239,30%,31%
4247,4%,8%
4411,8%,14%
4413,8%,14%
4571,2%,8%
4841,19%,22%
4842,19%,22%
5413,1%,1%
5414,4%,5%
5417,1%,2%
8111,2%,8%
