PayingCode, PayingDescription, ReceivingCode, ReceivingDescription, TransferCode, TransferDescription, Value
1,Oilseed farming,3001,Oilseeds,15050,Commodity Use,40132017.12
1,Oilseed farming,3010,All other crops,15050,Commodity Use,54306.90526
1,Oilseed farming,3011,Beef cattle,15050,Commodity Use,139941.4091
1,Oilseed farming,3013,Poultry and egg products,15050,Commodity Use,99923.8123
1,Oilseed farming,3014,"Animal products, except cattle and poultry and eggs",15050,Commodity Use,93265.31548
1,Oilseed farming,3019,Support activities for agriculture and forestry,15050,Commodity Use,22797173.03
1,Oilseed farming,3026,Stone,15050,Commodity Use,157658.563
1,Oilseed farming,3029,Other nonmetallic minerals,15050,Commodity Use,2680.505675
1,Oilseed farming,3042,Electricity transmission and distribution,15050,Commodity Use,1079212.746
1,Oilseed farming,3043,Natural gas distribution,15050,Commodity Use,138331.3559
1,Oilseed farming,3044,"Water, sewage and other systems",15050,Commodity Use,4309331.988
1,Oilseed farming,3055,Maintained and repaired nonresidential structures,15050,Commodity Use,2054136.527
1,Oilseed farming,3130,"Cut stock, resawn and planed lumber",15050,Commodity Use,4729.452193
1,Oilseed farming,3132,Wood containers and pallets,15050,Commodity Use,51600.96305
1,Oilseed farming,3142,Sanitary paper products,15050,Commodity Use,1293.924454
1,Oilseed farming,3144,Printed materials,15050,Commodity Use,2953.51252
1,Oilseed farming,3146,Refined petroleum products,15050,Commodity Use,1581814.275
1,Oilseed farming,3149,Petroleum lubricating oil and grease,15050,Commodity Use,7228.135379
1,Oilseed farming,3150,All other petroleum and coal products,15050,Commodity Use,5918.530533
1,Oilseed farming,3154,Other basic inorganic chemicals,15050,Commodity Use,93732.81549
1,Oilseed farming,3159,Nitrogenous fertilizer,15050,Commodity Use,174446.6251
1,Oilseed farming,3160,Phosphatic fertilizer,15050,Commodity Use,147635.0528
1,Oilseed farming,3162,Pesticides and other agricultural chemicals,15050,Commodity Use,14194647.7
1,Oilseed farming,3177,Other miscellaneous chemical products,15050,Commodity Use,15063.19382
1,Oilseed farming,3185,Other plastics products,15050,Commodity Use,72679.57655
1,Oilseed farming,3186,Tires,15050,Commodity Use,29158.96082
1,Oilseed farming,3187,Rubber and plastics hoses and belts,15050,Commodity Use,10294.60857
1,Oilseed farming,3198,Concrete pipes,15050,Commodity Use,21108.62904
1,Oilseed farming,3200,Lime,15050,Commodity Use,2178.671384
1,Oilseed farming,3201,Gypsum products,15050,Commodity Use,3114.047598
1,Oilseed farming,3210,Steel wire,15050,Commodity Use,3947.062944
1,Oilseed farming,3225,"Cutlery, utensils, pots, and pans",15050,Commodity Use,2089.703534
1,Oilseed farming,3226,Handtools,15050,Commodity Use,6219.392886
1,Oilseed farming,3227,Prefabricated metal buildings and components,15050,Commodity Use,21556.90321
1,Oilseed farming,3229,Plates,15050,Commodity Use,35459.47539
1,Oilseed farming,3239,Machined products,15050,Commodity Use,10456.81602
1,Oilseed farming,3251,Other fabricated metals,15050,Commodity Use,5167.010906
1,Oilseed farming,3252,Farm machinery and equipment,15050,Commodity Use,107809.6579
1,Oilseed farming,3274,"Measuring, dispensing, and other pumping equipment",15050,Commodity Use,4552.867192
1,Oilseed farming,3277,Conveyor and conveying equipment,15050,Commodity Use,49.66751559
1,Oilseed farming,3278,"Overhead cranes, hoists, and monorail systems",15050,Commodity Use,28.10656281
1,Oilseed farming,3279,"Industrial trucks, trailers, and stackers",15050,Commodity Use,249.6639959
1,Oilseed farming,3286,"Scales, balances, and miscellaneous general purpose machinery",15050,Commodity Use,115.128907
1,Oilseed farming,3315,Motors and generators,15050,Commodity Use,129.8042481
1,Oilseed farming,3318,Batteries,15050,Commodity Use,298552.9739
1,Oilseed farming,3330,Motor vehicle gasoline engines and engine parts,15050,Commodity Use,1914.421196
1,Oilseed farming,3331,Motor vehicle electrical and electronic equipment,15050,Commodity Use,230530.0776
1,Oilseed farming,3333,Motor vehicle seating and interior trim,15050,Commodity Use,6753.34521
1,Oilseed farming,3335,Other motor vehicle parts,15050,Commodity Use,162643.3924
1,Oilseed farming,3372,"Brooms, brushes, and mops",15050,Commodity Use,5184.421731
1,Oilseed farming,3374,All other miscellaneous manufactured products,15050,Commodity Use,13826.76412
1,Oilseed farming,3375,Wholesale services - Motor vehicle and motor vehicle parts and supplies,15050,Commodity Use,448407.6401
1,Oilseed farming,3376,Wholesale services - Professional and commercial equipment and supplies,15050,Commodity Use,12921.01004
1,Oilseed farming,3377,Wholesale services - Household appliances and electrical and electronic goods,15050,Commodity Use,533809.4181
1,Oilseed farming,3378,"Wholesale services - Machinery, equipment, and supplies",15050,Commodity Use,902742.6642
1,Oilseed farming,3379,Wholesale services - Other durable goods merchant wholesalers,15050,Commodity Use,329814.3462
1,Oilseed farming,3380,Wholesale services - Drugs and druggists’ sundries,15050,Commodity Use,25063.25667
1,Oilseed farming,3381,Wholesale services - Grocery and related product wholesalers,15050,Commodity Use,298193.2131
1,Oilseed farming,3382,Wholesale services - Petroleum and petroleum products,15050,Commodity Use,1667331.762
1,Oilseed farming,3383,Wholesale services - Other nondurable goods merchant wholesalers,15050,Commodity Use,28837704.95
1,Oilseed farming,3384,Wholesale services - Wholesale electronic markets and agents and brokers,15050,Commodity Use,121991.6339
1,Oilseed farming,3385,Retail services - Motor vehicle and parts dealers,15050,Commodity Use,19.72512643
1,Oilseed farming,3386,Retail services - Furniture and home furnishings stores,15050,Commodity Use,7.964946376
1,Oilseed farming,3387,Retail services - Electronics and appliance stores,15050,Commodity Use,6.674955629
1,Oilseed farming,3388,Retail services - Building material and garden equipment and supplies stores,15050,Commodity Use,1302.96129
