Stage,Sector,naics4,naics_name,naics_title,num_to_set,denom_total,share_to_set
Upstream,1. Materials & Processing - Coatings & Surface Treatments,3255,"Paint, Coating, and Adhesive Manufacturing","""Paint, Coating, and Adhesive Manufacturing""",721888419,1287336837,0.56
Upstream,1. Materials & Processing - Coatings & Surface Treatments,3328,"Coating, Engraving, Heat Treating, and Allied Activities","""Coating, Engraving, Heat Treating, and Allied Activities""",273916509.5,807906169.5,0.34
Upstream,1. Materials & Processing - Metals,3311,Iron and Steel Mills and Ferroalloy Manufacturing,"""Iron and Steel Mills and Ferroalloy Manufacturing""",1829540238,3383571692,0.54
Upstream,1. Materials & Processing - Metals,3312,Steel Product Manufacturing from Purchased Steel,"""Steel Product Manufacturing from Purchased Steel""",269876002.9,591519606.5,0.46
Upstream,1. Materials & Processing - Metals,3313,Alumina and Aluminum Production and Processing,"""Alumina and Aluminum Production and Processing""",253965113.5,682148565.8,0.37
Upstream,1. Materials & Processing - Metals,3314,Nonferrous Metal (except Aluminum) Production and Processing,"""Nonferrous Metal (except Aluminum) Production and Processing""",114010482.8,294215293.1,0.39
Upstream,1. Materials & Processing - Non-Metals,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","""Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing""",193541610.2,2245137971,0.09
Upstream,1. Materials & Processing - Non-Metals,3261,Plastics Product Manufacturing,"""Plastics Product Manufacturing""",982784872.6,3178537014,0.31
Upstream,1. Materials & Processing - Non-Metals,3262,Rubber Product Manufacturing,"""Rubber Product Manufacturing""",287731402.9,431785085.7,0.67
Upstream,1. Materials & Processing - Non-Metals,3272,Glass and Glass Product Manufacturing,"""Glass and Glass Product Manufacturing""",247156799.2,424908409.2,0.58
Downstream,10. Logistics,4841,General Freight Trucking,"""General Freight Trucking""",1257170663,5746270334,0.22
Downstream,10. Logistics,4842,NA,"""Specialized Freight Trucking",290465856.7,1414841188,0.21
Upstream,2. Equipment Manufacturing,3335,Metalworking Machinery Manufacturing,"""Metalworking Machinery Manufacturing""",169593714.8,681557973,0.25
Upstream,2. Equipment Manufacturing,3339,Other General Purpose Machinery Manufacturing,"""Other General Purpose Machinery Manufacturing""",355470882.9,865209665.8,0.41
Upstream,3. Forging & Foundries,3315,Foundries,"""Foundries""",1008236512,1383272756,0.73
Upstream,3. Forging & Foundries,3321,Forging and Stamping,"""Forging and Stamping""",777379157.1,1485069062,0.52
Upstream,4. Parts & Machining,3326,Spring and Wire Product Manufacturing,"""Spring and Wire Product Manufacturing""",78908990.45,193274168.2,0.41
Upstream,4. Parts & Machining,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing","""Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing""",1389761009,2699159047,0.51
Upstream,4. Parts & Machining,3329,Other Fabricated Metal Product Manufacturing,"""Other Fabricated Metal Product Manufacturing""",237053311.9,976686437,0.24
