orig_sort,naics_code,industry_name,segment_id,segment_name,stage,employment_qcew_raw_2018,employment_mi_qcew_raw_2024,mi_qcew_2018_24_six_year_employment_percent_change,moodys_mi_level_change_emp_24_30,moodys_mi_pct_change_2024_2030_employment,moodys_mi_pct_change_2024_2030_gdp, moodys_us_level_change_emp_24_30 ,moodys_us_pct_change_2024_2030_employment,moodys_us_pct_change_2024_2030_gdp,source_mi_dtmb_ind_proj,mi_dtmb_ind_proj_22_32_10yr_percent_change,mi_dtmb_ind_proj_22_32_annual_rate,mi_dtmb_ind_proj_22_32_six_year_rate,bls_source_url,"bls_us_Employment Percent Change, 2024-2034",bls_us_annual_employment_rate_change,bls_us_six_year_employment_rate_change,NAICS-Title
1,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,Materials & Processing - Non-Metals,Upstream," 7,265 "," 5,524 ",-24.0, (244),-4.0,30.7," (1,939)",-2.1,43.2,325000-Chemical Manufacturing,1.4,0.1,0.8,https://data.bls.gov/projections/nationalMatrix?queryParams=3250A1&ioType=i,2.2,0.2,1.3,"3252- Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing"
2,3255,"Paint, Coating, and Adhesive Manufacturing",1,Materials & Processing - Coatings & Surface Treatments,Upstream," 4,874 "," 4,347 ",-10.8, (4),-0.1,30.4," 1,968 ",3.0,42.5,325000-Chemical Manufacturing,1.4,0.1,0.8,https://data.bls.gov/projections/nationalMatrix?queryParams=3250A2&ioType=i,2.3,0.2,1.3,"3255- Paint, Coating, and Adhesive Manufacturing"
3,3261,Plastics Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream," 36,820 "," 34,371 ",-6.7," (2,017)",-5.8,17.5," (14,636)",-2.5,26.2,326000-Plastics and Rubber Products Manufacturing,-2.9,-0.3,-1.8,https://data.bls.gov/projections/nationalMatrix?queryParams=326100&ioType=i,4.4,0.4,2.6,3261- Plastics Product Manufacturing
4,3262,Rubber Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream," 6,003 "," 5,147 ",-14.3, (671),-13.0,1.6," (13,025)",-9.8,14.8,326000-Plastics and Rubber Products Manufacturing,-2.9,-0.3,-1.8,https://data.bls.gov/projections/nationalMatrix?queryParams=326200&ioType=i,1.5,0.1,0.9,3262- Rubber Product Manufacturing
5,3272,Glass and Glass Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream," 3,185 "," 2,802 ",-12.0, (288),-9.1,0.3," (5,934)",-7.6,1.2,327000-Nonmetallic Mineral Product Manufacturing,-4.3,-0.4,-2.6,https://data.bls.gov/projections/nationalMatrix?queryParams=327000&ioType=i,1.6,0.2,0.9,3272- Glass and Glass Product Manufacturing
6,3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,Materials & Processing - Metals,Upstream," 5,228 "," 3,258 ",-37.7, (569),-17.0,-1.3," (11,758)",-13.8,0.3,331000-Primary Metal Manufacturing,-8.0,-0.8,-4.9,https://data.bls.gov/projections/nationalMatrix?queryParams=331100&ioType=i,1.5,0.2,0.9,3311- Iron and Steel Mills and Ferroalloy Manufacturing
7,3312,Steel Product Manufacturing from Purchased Steel,1,Materials & Processing - Metals,Upstream," 1,790 "," 1,974 ",10.3, (270),-15.0,5.7," (6,580)",-11.0,6.8,331000-Primary Metal Manufacturing,-8.0,-0.8,-4.9,https://data.bls.gov/projections/nationalMatrix?queryParams=331200&ioType=i,1.9,0.2,1.1,3312- Steel Product Manufacturing from Purchased Steel
8,3313,Alumina and Aluminum Production and Processing,1,Materials & Processing - Metals,Upstream," 3,436 "," 2,698 ",-21.5, (322),-11.2,69.2," (4,389)",-7.1,64.2,331000-Primary Metal Manufacturing,-8.0,-0.8,-4.9,https://data.bls.gov/projections/nationalMatrix?queryParams=331300&ioType=i,-1.5,-0.2,-0.9,3313- Alumina and Aluminum Production and Processing
9,3314,Nonferrous Metal (except Aluminum) Production and Processing,1,Materials & Processing - Metals,Upstream," 1,414 "," 1,262 ",-10.7, (205),-16.7,60.4," (7,698)",-12.8,56.1,331000-Primary Metal Manufacturing,-8.0,-0.8,-4.9,https://data.bls.gov/projections/nationalMatrix?queryParams=331400&ioType=i,1.8,0.2,1.1,3314- Nonferrous Metal (except Aluminum) Production and Processing
10,3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,Materials & Processing - Coatings & Surface Treatments,Upstream," 13,709 "," 11,221 ",-18.1, (366),-3.2,25.3," (2,610)",-2.0,18.8,332000-Fabricated Metal Product Manufacturing,-4.3,-0.4,-2.6,https://data.bls.gov/projections/nationalMatrix?queryParams=332800&ioType=i,-10.6,-1.1,-6.5,"3328- Coating, Engraving, Heat Treating, and Allied Activities"
11,3335,Metalworking Machinery Manufacturing,2,Equipment Manufacturing,Upstream," 38,331 "," 29,604 ",-22.8," (2,323)",-7.8,3.8," (15,555)",-9.9,5.1,333000-Machinery Manufacturing,-3.0,-0.3,-1.8,https://data.bls.gov/projections/nationalMatrix?queryParams=333500&ioType=i,-6.2,-0.6,-3.8,3335- Metalworking Machinery Manufacturing
12,3339,Other General Purpose Machinery Manufacturing,2,Equipment Manufacturing,Upstream," 17,093 "," 17,946 ",5.0, 185 ,1.1,16.4," 1,174 ",0.4,19.5,333000-Machinery Manufacturing,-3.0,-0.3,-1.8,https://data.bls.gov/projections/nationalMatrix?queryParams=3330A1&ioType=i,0.3,0.0,0.2,3339- Other General Purpose Machinery Manufacturing
13,3315,Foundries,3,Forging & Foundries,Upstream," 10,846 "," 9,349 ",-13.8," (2,091)",-22.9,59.2," (18,952)",-17.9,60.0,331000-Primary Metal Manufacturing,-8.0,-0.8,-4.9,https://data.bls.gov/projections/nationalMatrix?queryParams=331500&ioType=i,-14.7,-1.6,-9.1,3315- Foundries
14,3321,Forging and Stamping,3,Forging & Foundries,Upstream," 8,431 "," 6,988 ",-17.1, (307),-4.2,20.7," (2,187)",-2.4,14.1,332000-Fabricated Metal Product Manufacturing,-4.3,-0.4,-2.6,https://data.bls.gov/projections/nationalMatrix?queryParams=3320A1&ioType=i,-9.5,-1.0,-5.8,3321- Forging and Stamping
15,3326,Spring and Wire Product Manufacturing,4,Parts & Machining,Upstream," 3,444 "," 2,869 ",-16.7, (44),-1.3,13.0, 220 ,0.5,6.7,332000-Fabricated Metal Product Manufacturing,-4.3,-0.4,-2.6,https://data.bls.gov/projections/nationalMatrix?queryParams=3320A1&ioType=i,-9.5,-1.0,-5.8,3326- Spring and Wire Product Manufacturing
16,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,Parts & Machining,Upstream," 28,818 "," 24,530 ",-14.9," (1,627)",-6.6,22.5," (21,806)",-6.5,16.4,332000-Fabricated Metal Product Manufacturing,-4.3,-0.4,-2.6,https://data.bls.gov/projections/nationalMatrix?queryParams=332700&ioType=i,-4,-0.4,-2.4,"3327- Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"
17,3329,Other Fabricated Metal Product Manufacturing,4,Parts & Machining,Upstream," 11,286 "," 10,865 ",-3.7, (91),-0.9,27.7, (730),-0.3,21.3,332000-Fabricated Metal Product Manufacturing,-4.3,-0.4,-2.6,https://data.bls.gov/projections/nationalMatrix?queryParams=3320A1&ioType=i,-9.5,-1.0,-5.8,3329- Other Fabricated Metal Product Manufacturing
18,3344,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream," 10,170 "," 12,179 ",19.8, (348),-3.0,53.4," (14,938)",-3.8,49.3,334000-Computer and Electronic Product Manufacturing,2.8,0.3,1.6,https://data.bls.gov/projections/nationalMatrix?queryParams=334400&ioType=i,11.4,1.1,6.7,3344- Semiconductor and Other Electronic Component Manufacturing
19,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,Component Systems,Upstream," 4,502 "," 4,970 ",10.4, (214),-4.5,11.4," (2,884)",-3.1,15.2,333000-Machinery Manufacturing,-3.0,-0.3,-1.8,https://data.bls.gov/projections/nationalMatrix?queryParams=333600&ioType=i,-4.8,-0.5,-2.9,"3336- Engine, Turbine, and Power Transmission Equipment Manufacturing"
20,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",5,Component Systems,Upstream," 9,027 "," 8,867 ",-1.8, (266),-2.7,19.4," (1,582)",-0.4,18.9,334000-Computer and Electronic Product Manufacturing,2.8,0.3,1.6,https://data.bls.gov/projections/nationalMatrix?queryParams=334500&ioType=i,3.4,0.3,2.0,"3345- Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
21,3359,Other Electrical Equipment and Component Manufacturing,5,Component Systems,Upstream," 3,847 "," 4,446 ",15.6, 94 ,2.1,16.3," (4,525)",-2.7,28.3,"335000-Electrical Equipment, Appliance, and Component Manufacturing",10.7,1.0,6.3,https://data.bls.gov/projections/nationalMatrix?queryParams=335900&ioType=i,29.2,2.6,16.6,3359- Other Electrical Equipment and Component Manufacturing
22,5413,"Architectural, Engineering, and Related Services",6,Engineering & Design,OEM," 86,547 "," 84,452 ",-2.4," 2,325 ",2.7,36.4," 133,336 ",7.8,40.7,"541300-Architectural, Engineering, and Related Services",3.2,0.3,1.9,https://data.bls.gov/projections/nationalMatrix?queryParams=541300&ioType=i,3.9,0.4,2.3,"5413- Architectural, Engineering, and Related Services"
23,5414,Specialized Design Services,6,Engineering & Design,OEM," 8,632 "," 10,458 ",21.2, (209),-2.0,14.6, (330),-0.2,17.1,541400-Specialized Design Services,18.3,1.7,10.6,https://data.bls.gov/projections/nationalMatrix?queryParams=541400&ioType=i,3.8,0.4,2.3,5414- Specialized Design Services
24,5417,Scientific Research and Development Services,6,Engineering & Design,OEM," 21,519 "," 25,297 ",17.6," 2,167 ",9.3,37.1," 109,782 ",11.7,37.0,541700-Scientific Research and Development Services,7.4,0.7,4.4,https://data.bls.gov/projections/nationalMatrix?queryParams=541700&ioType=i,8.4,0.8,4.9,5417- Scientific Research and Development Services
25,3361,Motor Vehicle Manufacturing,7,Core Automotive,OEM," 39,490 "," 48,138 ",21.9," 13,231 ",27.2,42.9," 95,278 ",31.6,46.7,336000-Transportation Equipment Manufacturing,-5.1,-0.5,-3.1,https://data.bls.gov/projections/nationalMatrix?queryParams=336100&ioType=i,5.4,0.5,3.2,3361- Motor Vehicle Manufacturing
26,3362,Motor Vehicle Body and Trailer Manufacturing,7,Core Automotive,OEM," 9,041 "," 7,921 ",-12.4, 31 ,0.4,29.6," 7,053 ",4.3,36.4,336000-Transportation Equipment Manufacturing,-5.1,-0.5,-3.1,https://data.bls.gov/projections/nationalMatrix?queryParams=336200&ioType=i,3.4,0.3,2.0,3362- Motor Vehicle Body and Trailer Manufacturing
