stage,segment,ice_flag,ev_flag,naics_code,naics_title,row_type,period,employment
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-01-01,3844291
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-02-01,3844488
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-03-01,3874079
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-04-01,3945008
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-05-01,4007457
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-06-01,4055281
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-07-01,3993502
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-08-01,4031790
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-09-01,4001185
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-10-01,3985534
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-11-01,3974968
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2000-12-01,3970640
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-01-01,3774066
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-02-01,3779851
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-03-01,3797809
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-04-01,3831806
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-05-01,3884400
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-06-01,3914905
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-07-01,3858616
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-08-01,3891352
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-09-01,3853847
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-10-01,3817838
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-11-01,3799623
