naics_code,Occupation Title,Occupation Code,Occupation Type,2024 Employment,2024 Percent of Industry,2024 Percent of Occupation,Projected 2034 Employment,Projected 2034 Percent of Industry,Projected 2034 Percent of Occupation,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034",Occupation Sort,Display Level,source_url
4235,"Total, all occupations",00-0000,Summary,1529.3,100.0,0.9,1581.5,100.0,0.9,52.2,3.4,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Management occupations,11-0000,Summary,156.8,10.3,1.2,166.9,10.6,1.2,10.2,6.5,2.0,1.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Top executives,11-1000,Summary,81.2,5.3,2.0,85.6,5.4,2.0,4.4,5.4,3.0,2.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Chief executives,11-1011,Line Item,2.5,0.2,0.8,2.7,0.2,0.8,0.1,5.4,4.0,3.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,General and operations managers,11-1021,Line Item,78.7,5.1,2.1,82.9,5.2,2.1,4.3,5.4,5.0,3.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,33.6,2.2,2.8,35.4,2.2,2.8,1.8,5.3,7.0,2.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Advertising and promotions managers,11-2011,Line Item,0.2,0.0,0.7,0.2,0.0,0.6,0.0,-10.4,8.0,3.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Marketing and sales managers,11-2020,Summary,33.0,2.2,3.2,34.8,2.2,3.2,1.8,5.4,9.0,3.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Marketing managers,11-2021,Line Item,7.7,0.5,1.9,8.1,0.5,1.9,0.4,5.4,10.0,4.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Sales managers,11-2022,Line Item,25.3,1.7,4.1,26.7,1.7,4.1,1.4,5.4,11.0,4.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Public relations and fundraising managers,11-2030,Summary,0.4,0.0,0.3,0.4,0.0,0.3,0.0,5.4,12.0,3.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Public relations managers,11-2032,Line Item,0.4,0.0,0.5,0.4,0.0,0.5,0.0,5.4,13.0,4.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Operations specialties managers,11-3000,Summary,34.4,2.3,1.2,38.0,2.4,1.2,3.5,10.3,15.0,2.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Administrative services and facilities managers,11-3010,Summary,3.2,0.2,0.8,3.4,0.2,0.8,0.2,5.4,16.0,3.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Administrative services managers,11-3012,Line Item,2.3,0.1,0.8,2.4,0.2,0.8,0.1,5.4,17.0,4.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Facilities managers,11-3013,Line Item,0.9,0.1,0.6,1.0,0.1,0.6,0.1,5.4,18.0,4.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
4235,Computer and information systems managers,11-3021,Line Item,4.9,0.3,0.7,5.5,0.3,0.7,0.6,12.8,19.0,3.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i
